trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.1, 'e': 0.9961375258153493}",30,0,-179.23171166656985,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.995998441546448}",20,0,-139.13002311672582,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9958569022414925}",20,0,-164.8408848682514,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9957129082493628}",25,0,-35.29979737729846,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.9955664599249897}",30,7,-59.95471146639274,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.9954175576293536}",30,0,-127.57519001886277,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9952662017294838}",30,0,-162.8234973644222,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.9951123925984571}",20,0,-65.48794903497807,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.9949561306153978}",30,0,-197.42432890275197,"{0: 13, 1: 5, 2: 8, 3: 3, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.9947974161654759}",25,0,-128.00276205148032,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.9946362496399065}",30,0,-180.07278878762204,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
67,False,"{'a': 0.1, 'e': 0.9944726314359491}",20,0,-163.4720691256892,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.9943065619569059}",25,0,-197.46771523133552,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
69,False,"{'a': 0.1, 'e': 0.9941380416121215}",20,0,-149.85271954965145,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
70,False,"{'a': 0.1, 'e': 0.9939670708169818}",30,0,-86.73942237010209,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.9937936499929124}",25,0,-72.17694812779948,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.9936177795673784}",20,7,-19.622414293359256,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.9934394599738825}",20,0,-81.62259696493858,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9932586916519648}",20,0,-137.8443791302831,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.993075475047201}",20,0,-114.2926010305969,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.1, 'e': 0.9928898106112014}",20,0,-52.32188783887023,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.9927016988016104}",30,0,-132.85480987401309,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
78,False,"{'a': 0.1, 'e': 0.9925111400821046}",25,0,-113.46898611386972,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.9923181349223922}",20,0,-28.419512236581085,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.9921226837982114}",20,0,-99.74404810433289,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.9919247871913297}",20,0,-45.91933355384935,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.9917244455895422}",25,1,-156.0302372747132,"{0: 8, 1: 6, 2: 8, 3: 1, 4: 1}",1
83,False,"{'a': 0.1, 'e': 0.9915216594866709}",30,0,-133.83978008611518,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
84,False,"{'a': 0.1, 'e': 0.9913164293825633}",20,0,-40.26262122245996,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.9911087557830907}",25,17,-13.505450557500897,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.9908986392001478}",20,0,-129.17562120863724,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.9906860801516507}",20,0,-180.60384823420057,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
88,False,"{'a': 0.1, 'e': 0.9904710791615364}",20,0,-135.60248934243438,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
89,False,"{'a': 0.1, 'e': 0.9902536367597605}",35,0,-199.9635836051884,"{0: 23, 1: 3, 2: 5, 3: 0, 4: 4}",0
90,False,"{'a': 0.1, 'e': 0.9900337534822967}",30,9,-79.37479993882963,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
91,False,"{'a': 0.1, 'e': 0.9898114298711352}",20,0,-154.929475383893,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.9895866664742815}",20,0,-126.28632558992084,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9893594638457546}",20,0,-42.6045343252761,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.9891298225455861}",25,0,-150.5503696364563,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
95,False,"{'a': 0.1, 'e': 0.9888977431398188}",30,0,-200.74769784166278,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
96,False,"{'a': 0.1, 'e': 0.9886632262005052}",25,4,-78.72364016492986,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.9884262723057059}",20,0,-68.6853414886921,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.9881868820394885}",30,0,-64.73351947109464,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.9879450559919257}",20,0,-131.6128655474433,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.9877007947590948}",20,0,-74.3149969528905,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.9874540989430749}",25,0,-161.99485919988047,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
102,False,"{'a': 0.1, 'e': 0.9872049691519464}",25,0,-150.4831805643132,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
103,False,"{'a': 0.1, 'e': 0.9869534059997894}",20,0,-107.60644667812566,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
104,False,"{'a': 0.1, 'e': 0.9866994101066816}",20,0,-106.99341520897143,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.9864429820986974}",20,0,-49.04405983273509,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.9861841226079061}",20,0,-105.08259458258495,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.9859228322723702}",20,0,-66.30529760761416,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
108,False,"{'a': 0.1, 'e': 0.9856591117361444}",25,0,-71.38663234837058,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9853929616492729}",25,0,-164.69143531969084,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
110,False,"{'a': 0.1, 'e': 0.9851243826677893}",20,0,-132.329109121483,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.1, 'e': 0.9848533754537137}",25,0,-201.52408159462453,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
112,False,"{'a': 0.1, 'e': 0.9845799406750515}",20,0,-58.402260251131324,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.1, 'e': 0.984304079005792}",25,0,-48.57019392382105,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
114,False,"{'a': 0.1, 'e': 0.9840257911259065}",20,0,-198.79209607544703,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
115,False,"{'a': 0.1, 'e': 0.9837450777213468}",25,4,-51.0505678508622,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.983461939484043}",20,6,-80.28337964556549,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
117,False,"{'a': 0.1, 'e': 0.9831763771119025}",20,0,-141.77074145914378,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.9828883913088079}",20,0,-95.67583706413149,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.9825979827846152}",25,0,-182.37391286684203,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
120,False,"{'a': 0.1, 'e': 0.9823051522551522}",25,0,-51.52494590455001,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
121,False,"{'a': 0.1, 'e': 0.9820099004422168}",20,0,-157.81988976968796,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
122,False,"{'a': 0.1, 'e': 0.981712228073575}",20,0,-78.79540361428094,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.9814121358829593}",30,0,-152.91913823972132,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
124,False,"{'a': 0.1, 'e': 0.9811096246100668}",20,0,-123.08744168897682,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9808046950005572}",20,0,-88.01458951460576,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
126,False,"{'a': 0.1, 'e': 0.9804973478060516}",30,0,-52.39314605175451,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
127,False,"{'a': 0.1, 'e': 0.9801875837841297}",30,0,-164.31102854914022,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
128,False,"{'a': 0.1, 'e': 0.9798754036983289}",25,0,-75.13707031971076,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.9795608083181417}",20,11,-28.499369595720967,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.979243798419014}",25,0,-215.75738223414768,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
131,False,"{'a': 0.1, 'e': 0.9789243747823434}",25,0,-143.92546725984434,"{0: 10, 1: 8, 2: 5, 3: 1, 4: 1}",0
132,False,"{'a': 0.1, 'e': 0.9786025381954769}",25,0,-94.44333670858522,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.9782782894517097}",20,0,-97.32919493478371,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
134,False,"{'a': 0.1, 'e': 0.977951629350282}",20,0,-158.5442777063064,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
135,False,"{'a': 0.1, 'e': 0.9776225586963783}",25,0,-81.27266281010856,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
136,False,"{'a': 0.1, 'e': 0.9772910783011246}",25,13,-17.267059405578607,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.9769571889815868}",25,0,-204.42859425823926,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
138,False,"{'a': 0.1, 'e': 0.9766208915607686}",30,0,-208.5456005810374,"{0: 12, 1: 5, 2: 10, 3: 1, 4: 2}",0
139,False,"{'a': 0.1, 'e': 0.9762821868676093}",25,0,-104.53119063459607,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
140,False,"{'a': 0.1, 'e': 0.9759410757369817}",25,0,-129.79400441249336,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
141,False,"{'a': 0.1, 'e': 0.9755975590096908}",25,0,-90.5606774199961,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.9752516375324707}",25,0,-194.5663099910167,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
143,False,"{'a': 0.1, 'e': 0.9749033121579829}",20,0,-83.89373789682337,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.1, 'e': 0.9745525837448147}",20,0,-109.83773581275001,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.9741994531574761}",25,0,-29.967925420966726,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.9738439212663987}",20,0,-141.3751111723733,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
147,False,"{'a': 0.1, 'e': 0.9734859889479329}",25,0,-51.80194635125867,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.1, 'e': 0.9731256570843458}",20,0,-68.31671386834321,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.9727629265638192}",25,0,-187.46053041631293,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
150,False,"{'a': 0.1, 'e': 0.9723977982804476}",30,0,-113.48640487890026,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
151,False,"{'a': 0.1, 'e': 0.9720302731342352}",30,0,-136.487729340524,"{0: 16, 1: 7, 2: 4, 3: 2, 4: 1}",0
152,False,"{'a': 0.1, 'e': 0.9716603520310948}",25,0,-178.76096870419596,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
153,False,"{'a': 0.1, 'e': 0.9712880358828445}",20,0,-124.96253889419512,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
154,False,"{'a': 0.1, 'e': 0.9709133256072064}",20,0,-146.09215299470955,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
