trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.1, 'e': 0.11420730695077123}",30,12,29.060440445082573,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.1, 'e': 0.11342085478128423}",20,6,-20.24114141845636,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
316,False,"{'a': 0.1, 'e': 0.11263981826366229}",30,16,-16.75606209206538,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
317,False,"{'a': 0.1, 'e': 0.11186416010474726}",25,10,8.756327352036818,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
318,False,"{'a': 0.1, 'e': 0.11109384326818844}",25,17,14.487964446940245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.1, 'e': 0.1103288309726741}",25,11,-27.490228631000406,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
320,False,"{'a': 0.1, 'e': 0.10956908669017537}",25,16,15.354328425238723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.1, 'e': 0.10881457414420193}",25,11,20.40266529804992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.1, 'e': 0.10806525730806989}",20,15,8.233078345179784,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.1, 'e': 0.10732110040318169}",20,0,25.243425891852382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
324,False,"{'a': 0.1, 'e': 0.10658206789731763}",25,8,24.04130093207906,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.1, 'e': 0.1058481245029393}",20,3,23.616349995293433,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.1, 'e': 0.10511923517550469}",30,18,22.8577652325799,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.1, 'e': 0.10439536511179479}",25,17,16.33367118600461,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.1, 'e': 0.1036764797482519}",25,15,19.059483847814626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.1, 'e': 0.10296254475932923}",20,0,-2.8984989202052436,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
330,False,"{'a': 0.1, 'e': 0.10225352605585186}",30,0,14.929652977284338,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
331,False,"{'a': 0.1, 'e': 0.10154938978338915}",30,20,19.822670617061437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.1, 'e': 0.10085010232063817}",20,8,24.40350739886587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.1, 'e': 0.10015563027781835}",20,0,-18.655859014634398,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
334,False,"{'a': 0.1, 'e': 0.09946594049507716}",30,16,24.831243432631535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.1, 'e': 0.09878100004090695}",35,9,19.955851729815418,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
336,False,"{'a': 0.1, 'e': 0.09810077621057223}",20,11,17.152041899171678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.1, 'e': 0.09742523652454829}",20,0,34.9579479852076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.1, 'e': 0.09675434872697031}",25,0,37.24289762276887,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
