trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
941,False,"{'a': 0.1, 'e': 0.05984689999999046}",20,7,-36.71364161797252,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
942,False,"{'a': 0.1, 'e': 0.05884779999999046}",20,16,6.807524589101551,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.1, 'e': 0.057848699999990455}",20,9,19.46665886536316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.1, 'e': 0.05684959999999045}",35,17,29.62454057590493,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
945,False,"{'a': 0.1, 'e': 0.05585049999999045}",20,11,16.800425592894534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.1, 'e': 0.05485139999999045}",20,12,17.639917833477817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.1, 'e': 0.053852299999990444}",25,19,10.858539810502199,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.1, 'e': 0.05285319999999044}",20,16,8.491277280803587,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.1, 'e': 0.05185409999999044}",20,15,3.5729005830999347,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.1, 'e': 0.050854999999990436}",20,10,16.407628486820954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.1, 'e': 0.04985589999999043}",20,11,15.218881680497116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.1, 'e': 0.04885679999999043}",20,12,14.31206100071713,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.1, 'e': 0.04785769999999043}",20,13,13.863724019579514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.1, 'e': 0.046858599999990425}",20,8,26.283304896102287,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.1, 'e': 0.04585949999999042}",20,10,6.1501873293754485,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
956,False,"{'a': 0.1, 'e': 0.04486039999999042}",20,13,13.255304288864231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
